 Pressure tensor from virial route using IK-VR1 definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 10.7201         0.0000           -27.4313             0.0000           -27.4313          -105.8552             0.0000          -105.8552
 10.7301         0.0000           -27.4118             0.0000           -27.4118          -105.8552             0.0000          -105.8552
 10.7402         0.0000           -27.4170             0.0000           -27.4170          -105.8552             0.0000          -105.8552
 10.7502         0.0000           -27.4320             0.0000           -27.4320          -105.8552             0.0000          -105.8552
 10.7602         0.0000           -27.4529             0.0000           -27.4529          -105.8552             0.0000          -105.8552
 10.7702         0.0000           -27.4404             0.0000           -27.4404          -105.8552             0.0000          -105.8552
 10.7802         0.0000           -27.4321             0.0000           -27.4321          -105.8552             0.0000          -105.8552
 10.7902         0.0000           -27.4289             0.0000           -27.4289          -105.8552             0.0000          -105.8552
 10.8002         0.0000           -27.4331             0.0000           -27.4331          -105.8552             0.0000          -105.8552
 10.8102         0.0000           -27.4292             0.0000           -27.4292          -105.8552             0.0000          -105.8552
 10.8202         0.0000           -27.4322             0.0000           -27.4322          -105.8552             0.0000          -105.8552
 10.8302         0.0000           -27.4254             0.0000           -27.4254          -105.8552             0.0000          -105.8552
 10.8402         0.0000           -27.4255             0.0000           -27.4255          -105.8552             0.0000          -105.8552
 10.8502         0.0000           -27.4121             0.0000           -27.4121          -105.8552             0.0000          -105.8552
 10.8602         0.0000           -27.4270             0.0000           -27.4270          -105.8552             0.0000          -105.8552
 10.8702         0.0000           -27.4294             0.0000           -27.4294          -105.8552             0.0000          -105.8552
 10.8802         0.0000           -27.4543             0.0000           -27.4543          -105.8552             0.0000          -105.8552
 10.8902         0.0000           -27.4821             0.0000           -27.4821          -105.8552             0.0000          -105.8552
 10.9002         0.0000           -27.4862             0.0000           -27.4862          -105.8552             0.0000          -105.8552
 10.9102         0.0000           -27.5023             0.0000           -27.5023          -105.8552             0.0000          -105.8552
 10.9202         0.0000           -27.4713             0.0000           -27.4713          -105.8552             0.0000          -105.8552
 10.9302         0.0000           -27.4690             0.0000           -27.4690          -105.8552             0.0000          -105.8552
 10.9402         0.0000           -27.4729             0.0000           -27.4729          -105.8552             0.0000          -105.8552
 10.9502         0.0000           -27.4658             0.0000           -27.4658          -105.8552             0.0000          -105.8552
 10.9602         0.0000           -27.4890             0.0000           -27.4890          -105.8557             0.0000          -105.8557
 10.9702         0.0000           -27.4487             0.0000           -27.4487          -105.8554             0.0000          -105.8554
 10.9802         0.0000           -27.4609             0.0000           -27.4609          -105.8534             0.0000          -105.8534
 10.9902         0.0000           -27.4516             0.0000           -27.4516          -105.8567             0.0000          -105.8567
 11.0002         0.0000           -27.4709             0.0000           -27.4709          -105.8549             0.0000          -105.8549
 11.0102         0.0000           -27.4779             0.0000           -27.4779          -105.8540             0.0000          -105.8540
 11.0202         0.0000           -27.4710             0.0000           -27.4710          -105.8543             0.0000          -105.8543
 11.0302         0.0000           -27.4548             0.0000           -27.4548          -105.8556             0.0000          -105.8556
 11.0402         0.0000           -27.4531             0.0000           -27.4531          -105.8581             0.0000          -105.8581
 11.0502         0.0000           -27.4525             0.0000           -27.4525          -105.8557             0.0000          -105.8557
 11.0602         0.0000           -27.4558             0.0000           -27.4558          -105.8542             0.0000          -105.8542
 11.0702         0.0000           -27.4451             0.0000           -27.4451          -105.8542             0.0000          -105.8542
 11.0802         0.0000           -27.4402             0.0000           -27.4402          -105.8537             0.0000          -105.8537
 11.0902         0.0000           -27.4602             0.0000           -27.4602          -105.8548             0.0000          -105.8548
 11.1002         0.0000           -27.4669             0.0000           -27.4669          -105.8626             0.0000          -105.8626
 11.1102         0.0000           -27.4561             0.0000           -27.4561          -105.8620             0.0000          -105.8620
 11.1202         0.0000           -27.4609             0.0000           -27.4609          -105.8654             0.0000          -105.8654
 11.1302         0.0000           -27.4719             0.0000           -27.4719          -105.8608             0.0000          -105.8608
 11.1402         0.0000           -27.4934             0.0000           -27.4934          -105.8659             0.0000          -105.8659
 11.1502         0.0000           -27.4934             0.0000           -27.4934          -105.8717             0.0000          -105.8717
 11.1602         0.0000           -27.4982             0.0000           -27.4982          -105.8691             0.0000          -105.8691
 11.1702         0.0000           -27.4924             0.0000           -27.4924          -105.8675             0.0000          -105.8675
 11.1802         0.0000           -27.4683             0.0000           -27.4683          -105.8677             0.0000          -105.8677
 11.1902         0.0000           -27.4536             0.0000           -27.4536          -105.8746             0.0000          -105.8746
 11.2002         0.0000           -27.4487             0.0000           -27.4487          -105.8749             0.0000          -105.8749
 11.2103         0.0000           -27.4611             0.0000           -27.4611          -105.8703             0.0000          -105.8703
 11.2203         0.0000           -27.4808             0.0000           -27.4808          -105.8663             0.0000          -105.8663
 11.2303         0.0000           -27.4785             0.0000           -27.4785          -105.8686             0.0000          -105.8686
 11.2403         0.0000           -27.4722             0.0000           -27.4722          -105.8641             0.0000          -105.8641
 11.2503         0.0000           -27.4701             0.0000           -27.4701          -105.8444             0.0000          -105.8444
 11.2603         0.0000           -27.4711             0.0000           -27.4711          -105.8534             0.0000          -105.8534
 11.2703         0.0000           -27.4394             0.0000           -27.4394          -105.8467             0.0000          -105.8467
 11.2803         0.0000           -27.4391             0.0000           -27.4391          -105.8480             0.0000          -105.8480
 11.2903         0.0000           -27.3916             0.0000           -27.3916          -105.8554             0.0000          -105.8554
 11.3003         0.0000           -27.3900             0.0000           -27.3900          -105.8615             0.0000          -105.8615
 11.3103         0.0000           -27.3790             0.0000           -27.3790          -105.8665             0.0000          -105.8665
 11.3203         0.0000           -27.3783             0.0000           -27.3783          -105.8715             0.0000          -105.8715
 11.3303         0.0000           -27.3917             0.0000           -27.3917          -105.8728             0.0000          -105.8728
 11.3403         0.0000           -27.4022             0.0000           -27.4022          -105.8552             0.0000          -105.8552
 11.3503         0.0000           -27.4138             0.0000           -27.4138          -105.8664             0.0000          -105.8664
 11.3603         0.0000           -27.4443             0.0000           -27.4443          -105.8645             0.0000          -105.8645
 11.3703         0.0000           -27.4439             0.0000           -27.4439          -105.8836             0.0000          -105.8836
 11.3803         0.0000           -27.4438             0.0000           -27.4438          -105.8683             0.0000          -105.8683
 11.3903         0.0000           -27.4842             0.0000           -27.4842          -105.8613             0.0000          -105.8613
 11.4003         0.0000           -27.4783             0.0000           -27.4783          -105.8520             0.0000          -105.8520
 11.4103         0.0000           -27.4827             0.0000           -27.4827          -105.8439             0.0000          -105.8439
 11.4203         0.0000           -27.5069             0.0000           -27.5069          -105.8441             0.0000          -105.8441
 11.4303         0.0000           -27.4916             0.0000           -27.4916          -105.8424             0.0000          -105.8424
 11.4403         0.0000           -27.4804             0.0000           -27.4804          -105.8291             0.0000          -105.8291
 11.4503         0.0000           -27.4920             0.0000           -27.4920          -105.8291             0.0000          -105.8291
 11.4603         0.0000           -27.5116             0.0000           -27.5116          -105.8252             0.0000          -105.8252
 11.4703         0.0000           -27.4915             0.0000           -27.4915          -105.8358             0.0000          -105.8358
 11.4803         0.0000           -27.5108             0.0000           -27.5108          -105.8528             0.0000          -105.8528
 11.4903         0.0000           -27.5001             0.0000           -27.5001          -105.8672             0.0000          -105.8672
 11.5003         0.0000           -27.4892             0.0000           -27.4892          -105.8636             0.0000          -105.8636
 11.5103         0.0000           -27.4816             0.0000           -27.4816          -105.8688             0.0000          -105.8688
 11.5203         0.0000           -27.4840             0.0000           -27.4840          -105.8600             0.0000          -105.8600
 11.5303         0.0000           -27.4859             0.0000           -27.4859          -105.8869             0.0000          -105.8869
 11.5403         0.0000           -27.5314             0.0000           -27.5314          -105.8732             0.0000          -105.8732
 11.5503         0.0000           -27.5273             0.0000           -27.5273          -105.8862             0.0000          -105.8862
 11.5603         0.0000           -27.5004             0.0000           -27.5004          -105.8720             0.0000          -105.8720
 11.5703         0.0000           -27.4938             0.0000           -27.4938          -105.8892             0.0000          -105.8892
 11.5803         0.0000           -27.4911             0.0000           -27.4911          -105.8877             0.0000          -105.8877
 11.5903         0.0000           -27.4674             0.0000           -27.4674          -105.8644             0.0000          -105.8644
 11.6003         0.0000           -27.4608             0.0000           -27.4608          -105.8688             0.0000          -105.8688
 11.6103         0.0000           -27.4678             0.0000           -27.4678          -105.8701             0.0000          -105.8701
 11.6203         0.0000           -27.4662             0.0000           -27.4662          -105.8738             0.0000          -105.8738
 11.6303         0.0000           -27.4856             0.0000           -27.4856          -105.8950             0.0000          -105.8950
 11.6403         0.0000           -27.5060             0.0000           -27.5060          -105.8898             0.0000          -105.8898
 11.6503         0.0000           -27.5054             0.0000           -27.5054          -105.8411             0.0000          -105.8411
 11.6603         0.0000           -27.4976             0.0000           -27.4976          -105.8620             0.0000          -105.8620
 11.6703         0.0000           -27.5201             0.0000           -27.5201          -105.8538             0.0000          -105.8538
 11.6803         0.0000           -27.5295             0.0000           -27.5295          -105.8302             0.0000          -105.8302
 11.6904         0.0000           -27.5415             0.0000           -27.5415          -105.7989             0.0000          -105.7989
 11.7004         0.0000           -27.5520             0.0000           -27.5520          -105.8035             0.0000          -105.8035
 11.7104         0.0000           -27.5564             0.0000           -27.5564          -105.8391             0.0000          -105.8391
 11.7204         0.0000           -27.5691             0.0000           -27.5691          -105.8434             0.0000          -105.8434
 11.7304         0.0000           -27.5471             0.0000           -27.5471          -105.8529             0.0000          -105.8529
 11.7404         0.0000           -27.5281             0.0000           -27.5281          -105.8540             0.0000          -105.8540
 11.7504         0.0000           -27.5264             0.0000           -27.5264          -105.8607             0.0000          -105.8607
 11.7604         0.0000           -27.5321             0.0000           -27.5321          -105.8194             0.0000          -105.8194
 11.7704         0.0000           -27.5246             0.0000           -27.5246          -105.8352             0.0000          -105.8352
 11.7804         0.0000           -27.5146             0.0000           -27.5146          -105.8513             0.0000          -105.8513
 11.7904         0.0000           -27.5265             0.0000           -27.5265          -105.8608             0.0000          -105.8608
 11.8004         0.0000           -27.5299             0.0000           -27.5299          -105.8651             0.0000          -105.8651
 11.8104         0.0000           -27.5182             0.0000           -27.5182          -105.8664             0.0000          -105.8664
 11.8204         0.0000           -27.5105             0.0000           -27.5105          -105.8395             0.0000          -105.8395
 11.8304         0.0000           -27.4798             0.0000           -27.4798          -105.8438             0.0000          -105.8438
 11.8404         0.0000           -27.4767             0.0000           -27.4767          -105.8577             0.0000          -105.8577
 11.8504         0.0000           -27.4738             0.0000           -27.4738          -105.8392             0.0000          -105.8392
 11.8604         0.0000           -27.4437             0.0000           -27.4437          -105.8199             0.0000          -105.8199
 11.8704         0.0000           -27.4478             0.0000           -27.4478          -105.8255             0.0000          -105.8255
 11.8804         0.0000           -27.4518             0.0000           -27.4518          -105.8147             0.0000          -105.8147
 11.8904         0.0000           -27.4691             0.0000           -27.4691          -105.7864             0.0000          -105.7864
 11.9004         0.0000           -27.4797             0.0000           -27.4797          -105.7903             0.0000          -105.7903
 11.9104         0.0000           -27.4966             0.0000           -27.4966          -105.7875             0.0000          -105.7875
 11.9204         0.0000           -27.4760             0.0000           -27.4760          -105.7695             0.0000          -105.7695
 11.9304         0.0000           -27.4765             0.0000           -27.4765          -105.7770             0.0000          -105.7770
 11.9404         0.0000           -27.4889             0.0000           -27.4889          -105.7686             0.0000          -105.7686
 11.9504         0.0000           -27.5075             0.0000           -27.5075          -105.8092             0.0000          -105.8092
 11.9604         0.0000           -27.5061             0.0000           -27.5061          -105.8319             0.0000          -105.8319
