 Pressure tensor from virial route using Harasima definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 10.0300         0.0000             0.0000             0.0000             0.0000             0.0000             0.0000             0.0000
 10.0400         0.0000             0.0000             0.0000             0.0000             0.0000             0.0000             0.0000
 10.0500         0.0000         -9589.5635             0.0000         -9589.5635          -108.7293             0.0000          -108.7293
 10.0600         0.0000             0.0000             0.0000             0.0000          -106.2362             0.0000          -106.2362
 10.0700         0.0000             0.0000             0.0000             0.0000          -106.2183             0.0000          -106.2183
 10.0800         0.0000             0.0000             0.0000             0.0000          -106.1530             0.0000          -106.1530
 10.0900         0.0000             0.0000             0.0000             0.0000          -106.0320             0.0000          -106.0320
 10.1000         0.0000             0.0000             0.0000             0.0000          -106.0248             0.0000          -106.0248
 10.1100         0.0000             0.0000             0.0000             0.0000          -105.9464             0.0000          -105.9464
 10.1200         0.0000             0.0000             0.0000             0.0000          -105.9464             0.0000          -105.9464
 10.1300         0.0000             0.0000             0.0000             0.0000          -105.9244             0.0000          -105.9244
 10.1400         0.0000             0.0000             0.0000             0.0000          -105.8703             0.0000          -105.8703
 10.1500         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.1600         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.1700         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.1800         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.1900         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2000         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2100         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2200         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2300         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2400         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2500         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2600         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2701         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2801         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.2901         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3001         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3101         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3201         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3301         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3401         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3501         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3601         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3701         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3801         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.3901         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4001         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4101         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4201         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4301         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4401         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4501         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4601         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4701         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4801         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.4901         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5001         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5101         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5201         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5301         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5401         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5501         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5601         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5701         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5801         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.5901         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6001         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6101         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6201         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6301         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6401         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6501         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6601         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6701         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6801         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.6901         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7001         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7101         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7201         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7301         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7402         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7502         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7602         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7702         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7802         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.7902         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
 10.8002         0.0000             0.0000             0.0000             0.0000          -105.8552             0.0000          -105.8552
